obj1,obj2,obj3,obj4,obj5,obj6
3.3477e+06,9894.3,27557,3.9239e+25,74.712,78.951
3.0505e+07,852.84,30804,279.22,39.812,31.952
41961,18780,50628,1.0123e+27,60.93,94.699
1.4612e+06,11851,19962,2.5784e+27,74.928,83.203
4.9572e+06,5143.6,78318,1.0613e+16,7.3399,66.632
1.7527e+05,14473,25858,3.3793e+34,61.523,91.05
5270.3,17388,27318,2.2424e+29,74.344,97.904
3.5861e+06,1386.5,62403,1.3646e+13,19.134,49.453
1.5496e+07,2401,8404.8,1.4149e+27,47.365,65.319
79718,11287,24926,1.8143e+47,57.345,97.33
36508,16285,29967,1.4916e+26,83.728,97.153
1.7419e+07,7798.6,62392,1.2654e+13,7.1237,72.093
2.3429e+06,3449,87425,1.8386e+13,18.626,63.574
2.06e+07,1.6024e-31,18.661,4.8688e+14,17.293,14.052
1.3796e+05,14283,32304,4.281e+36,58.871,89.108
6.9508e+06,7427.4,18961,7.0578e+23,62.693,73.783
3.2284e+07,1824.3,38165,7.2151,37.563,52.55
1.1484e+05,8508,34483,3.141e+48,51.248,91.979
2.7443e+07,5133.2,15360,79.939,19.621,66.842
33181,10847,29312,8.4691e+48,54.495,96.038
3.4461e+05,15715,35932,2.7891e+25,88.357,96.59
6.5958e+05,3261.6,1.0111e+05,6.8203e+13,21.59,61.12
4.3489e+07,155.8,37651,83535,41.182,15.104
1.0329e+06,12723,15452,3.8335e+32,79.296,97.447
2.2888e+06,10665,10746,2.6427e+33,61.257,85.39
41396,9154.6,34012,7.5531e+48,52.475,93.459
2.9316e+07,5807.1,36084,237.44,17.12,69.393
2.2148e+07,1076.2,12980,3294.7,30.201,30.12
1.587e+07,291.59,9651.3,1.4115e+22,11.606,25.686
4.1401e+05,13940,15082,9.1411e+30,81.495,96.201
24814,19994,56408,1.5391e+27,59.829,100.21
2.468e+07,2703.6,21334,1.9483e+07,8.9239,48.207
62136,6976.7,41501,3.2191e+48,49.009,88.642
1.0545e+06,12635,11263,1.2386e+31,76.341,91.492
8.5652e+06,4436.4,71660,4.8634e+12,13.132,63.493
21737,17727,33918,3.1369e+26,86.574,99.879
3.005e+07,6109.7,40221,4.6884,28.141,73.839
4.9991e+05,7076.2,1.1747e+05,2.1989e+25,8.3939,65.464
1.6235e+07,8351.5,15736,5.561e+12,43.172,79.531
1.0024e+07,4863.1,8989.5,1.2396e+36,44.256,77.991
3.0187e+06,1844.8,47279,2.0961e+22,2.0616,46.513
33961,8267.9,39333,1.5844e+49,51.392,92
1.8249e+06,12731,25107,2.0389e+24,80.429,91.575
35984,8321.1,39139,1.6113e+49,51.491,92.181
50485,9142.6,33338,5.757e+48,52.522,93.447
2.6219e+07,3489.8,30881,35.644,29.477,51.421
42668,6779.5,44206,5.3018e+48,48.795,88.066
2.9661e+07,1133.6,31993,32.583,38.891,40.791
9.298e+06,143.16,26553,1.0624e+24,27.475,32.906
2.2049e+07,1237.4,9523.9,5.8747e+06,10.166,36.616
5.0111e+05,7079.1,1.175e+05,2.204e+25,8.3977,65.462
40623,8752.1,36988,1.1793e+49,51.627,92.614
36260,8320.5,39105,1.5909e+49,51.491,92.181
3.098e+05,14854,28417,9.2342e+25,83.337,91.247
2.6022e+07,85.689,14743,7.3456e+05,36.147,7.005
9.6205e+06,3768.4,85563,9.7749e+11,24.626,59.733
4168.2,16358,34623,6.988e+26,86.105,93.144
1.9423e+06,4431.6,80112,8.4035e+18,6.0022,68.569
1.5627e+06,2664.5,84284,1.8217e+13,19.379,60.817
2.0612e+07,16.088,319.12,1.0106e+11,20.923,9.3462
2.7889e+07,5396.5,34721,2.3803,30.011,72.513
4.3918e+06,5517.7,88163,1.7876e+15,10.381,65.844
1081,14569,16870,2.7618e+43,62.311,101.58
34062,8262.8,39301,1.5555e+49,51.384,91.99
6.2109e+06,7703.7,7464.8,6.0348e+31,59.595,82.623
3.8194e+07,168.96,31602,51954,38.765,16.853
26308,5340.7,79923,7.7482e+22,39.281,71.812
66328,11072,26215,2.7132e+48,55.245,97.063
2.6538e+07,1618.9,24776,9.3807,33.054,51.709
1.2111e+05,13661,29073,1.0147e+37,73.317,98.718
38700,7937.5,40969,1.0622e+49,50.198,90.48
3.1593e+05,13407,19152,2.4897e+32,69.244,89.841
87698,7194.4,39097,2.0854e+48,49.712,89.367
8.1845e+06,6278.1,74629,4.8659e+13,9.357,70.019
51424,17106,38640,7.1148e+25,90.521,99.491
5.853e+06,8159.4,13076,2.7076e+26,72.541,81.628
64902,9219.8,32945,5.6488e+48,52.713,93.739
6.1072e+06,2316.4,24760,2.2417e+36,30.654,59.08
9.8878e+05,3559.2,1.0023e+05,3.6871e+13,21.321,64.687
46316,15932,32579,1.8529e+26,84.885,94.79
1.9591e+07,522.92,3013.3,3.9995e+18,28.548,30.571
1.2133e+06,3349.3,99564,2.6058e+13,22.683,64.378
2.0621e+07,1,4,5.9105e+09,18,0
2.2757e+07,715.07,14727,101.3,33.711,35.384
7.5988e+06,5684.8,86259,3.277e+12,16.171,71.007
33336,8697.5,37511,1.2264e+49,51.532,92.287
3.3143e+07,7204.5,48849,2.2436,32.475,78.025
2.7595e+07,4437.6,29487,48143,10.917,60.101
2.2382e+07,1964.4,7274.3,1.7072e+05,9.6863,50.034
2.3576e+07,34.087,7868.2,3.625e+07,32.066,3.186
3.1573e+07,7376.3,37088,8.3957,25.216,77.434
9.9629e+05,12567,26099,4.383e+28,66.81,83.759
3.7337e+07,73.401,29199,1.5734e+07,40.309,2.2119
5.8939e+05,15347,22943,5.9956e+26,74.751,95.458
4.1568e+07,461.28,36862,2080.3,36.775,31.869
1.4157e+06,15364,18721,3.6111e+31,64.168,96.042
96752,12126,42211,8.2282e+37,61.318,83.241
4.6616e+06,674.76,32320,1.2005e+23,3.9819,29.238
9.4344e+06,6277.1,2005.7,1.3445e+27,35.24,55.711
1.7142e+07,3481.3,34806,4.8266e+16,1.0311,61.284
32591,9131.7,35788,1.6829e+49,53.169,94.096
26391,17509,41220,1.1624e+26,92.077,99.582
50040,20431,58874,1.5346e+27,60.021,101.38
9.1184e+06,4066.2,58077,2.5524e+12,10.951,65.174
5.5784e+06,5176.6,81910,4.6872e+12,16.06,71.477
3.7524e+07,577.04,37076,301.7,40.202,32.878
37033,15929,28207,9.6842e+26,77.873,95.312
7.5232e+06,4174.9,59547,4.9448e+15,4.5165,60.974
5.3877e+05,12805,31388,6.3582e+34,72.095,92.915
49489,20425,58845,1.5354e+27,60.016,101.37
15510,12505,22723,5.5113e+46,58.463,97.757
1.5187e+05,11054,23895,6.745e+47,54.749,96.482
6.8493e+06,6498,83500,2.5634e+13,11.957,72.312
42374,7001.8,42502,4.6657e+48,49.037,88.691
2.2042e+07,210.44,8034.5,62082,34.791,12.92
1.131e+06,4568.4,1.0377e+05,4.8855e+13,19.549,68.188
90655,8280.3,35477,1.4214e+48,49.618,90.074
1.3779e+07,4746,38792,1.7548e+19,0.6804,61.297
1.9338e+05,11018,30373,2.5167e+40,53.418,80.903
33832,7786.4,39621,7.0112e+48,50.346,90.509
4.5674e+06,5588.9,83107,3.7887e+13,12.84,69.341
1.8512e+05,11795,22238,2.9739e+47,56.512,98.566
1.2863e+07,4400.3,58225,1.8395e+13,8.5408,63.108
91051,8687.2,34178,2.6222e+48,53.666,93.679
9.8884e+06,3427.7,52140,2.1003e+13,8.679,61.065
6.8605e+06,4305.6,68374,4.3254e+14,8.327,61.938
1.2615e+05,10058,57522,7.1108e+35,60.554,76.648
2.677e+07,2863.6,33744,3.1986,34.201,59.023
4.7095e+06,4255.1,76811,1.7494e+15,10.349,55.745
2.3734e+05,13111,30649,7.9242e+36,71.15,96.573
5.2723e+07,184.37,47000,25678,41.703,21.047
5.1624e+05,2702,88501,5.1252e+13,18.848,61.431
36665,18095,40739,9.6568e+25,92.296,102.05
2.8323e+07,4820.1,36397,21.241,23.869,63.802
4.1028e+07,81.089,33096,1.3267e+06,39.882,8.876
33281,9264.4,35424,1.3798e+49,52.38,93.607
2.0709e+07,12.797,398.55,2.099e+09,23.988,4.8624
71032,10549,27032,1.7112e+48,53.81,95.302
4.218e+05,12896,29008,1.7113e+34,68.435,89.643
8.6855e+06,5663.5,71429,1.6868e+17,3.8754,65.507
32618,7946.1,39689,8.7438e+48,50.554,90.855
2.1365e+06,11123,24649,3.6808e+29,69.615,80.519
1.38e+06,666.7,44247,1.047e+22,4.8186,39.217
47231,16944,37808,8.5059e+25,88.795,99.368
2.8671e+06,10805,9674.3,2.2799e+24,72.956,78.021
1.341e+07,583.08,15696,3.4714e+23,22.41,25.322
3.8805e+07,121.94,31755,6.4184e+05,41.517,9.0008
5.0418e+06,9976.9,16494,4.5038e+25,45.062,68.238
7.5946e+05,5324.5,99296,5.0777e+22,6.8462,68.612
6.673e+05,7289.7,31948,2.0671e+47,50.139,89.903
4.7406e+07,257.15,42693,6169.2,40.109,26.393
2.5788e+07,259.29,17585,20510,38.879,14.876
3.5546e+05,14047,33414,2.4425e+35,45.511,79.786
5.5842e+06,8434.7,6281.5,6.2726e+27,65.776,77.999
9.2746e+05,1710.4,61704,5.8265e+16,6.2526,44.473
1.5695e+05,14756,22027,2.2289e+29,67.447,88.212
4.2318e+07,456.23,41749,741.29,41.528,29.836
5.1268e+06,11186,9085.5,1.7116e+18,58.089,71.068
3.3703e+07,6190,57664,1,40.5,75
31533,9193.5,35169,1.2433e+49,52.679,93.674
3.5506e+07,86.57,27188,4.1505e+05,37.779,11.192
1.1402e+06,4569.9,1.0374e+05,4.8435e+13,19.553,68.196
2.8818e+07,5937.8,18485,3.208e+06,7.3361,67.905
1.6724e+07,2160.5,1153,2.0958e+25,35.323,56.198
2.9791e+07,1211.3,30449,20.506,35.515,45.975
1.6738e+06,11321,11397,1.599e+34,63.747,88.085
1.8636e+06,949.05,51119,1.6332e+21,7.1546,40.536
3.6717e+06,3369.8,66991,1.1277e+16,6.3267,50.547
31260,11585,22681,5.345e+47,54.456,95.924
2.2219e+06,11343,10391,8.2951e+32,52.543,77.125
1.6539e+07,2632.7,5795.6,1.4119e+21,39.391,48.054
32379,8850.3,36773,9.7707e+48,51.367,92.182
24028,17817,30193,4.0087e+28,76.411,99.314
2.2948e+07,2590.5,17615,3.6587e+08,5.13,56.037
9.8193e+05,3561.6,1.003e+05,3.7137e+13,21.326,64.697
8.6172e+06,6382.4,16633,3.2602e+30,23.883,71.352
50118,6279,47207,3.7706e+48,47.362,86.169
1.4482e+07,3086.8,4507.6,4.0771e+28,41.637,67.02
38911,8618.5,37535,1.1317e+49,51.895,92.386
2.607e+06,3936.3,93520,2.5749e+13,19.331,62.085
1.3634e+05,16567,31325,1.0333e+26,83.799,98.94
2.1987e+06,1726.6,37256,2.2215e+37,27.069,48.316
1.1843e+06,11891,24626,3.0796e+30,65.114,81.419
36118,8325.5,39106,1.6042e+49,51.499,92.192
3.8591e+07,208.67,34734,1.1035e+05,42.063,13.361
2.304e+07,1927.8,18484,10.909,30.423,53.025
2.3365e+06,10677,7185.3,3.3254e+33,63.146,88.635
1.0909e+07,5382,3273.7,1.9327e+27,34.56,56.454
5.6867e+06,4855.8,82915,3.4897e+12,16.898,69.859
1.6916e+06,1485.9,60130,2.0016e+14,11.001,49.859
5.2196e+07,587.53,54368,1157.8,46.419,28.824
6.6081e+05,4279.1,1.0613e+05,4.69e+13,21.672,69.128
2.1021e+05,15472,31662,4.229e+26,81.765,92.789
4.3937e+07,704.3,47877,2707.8,46.984,23.85
9.5447e+05,12016,19359,1.269e+37,68.326,94.258
4.8586e+05,12662,20408,6.2869e+38,63.005,95.077
1.5064e+07,5455.8,63099,2.2902e+12,9.2619,65.14
1.1758e+07,565.12,25965,1.6321e+19,31.239,39.63
1.2329e+07,3809.9,55719,1.7267e+13,9.1323,57.701
34109,8256.7,39299,1.536e+49,51.369,91.971
